Id,Source,Target,Weight
1477,190,44,1
1478,142,190,2
1479,67,190,6
1480,190,67,6
1481,45,190,15
1482,190,45,6
1483,143,190,6
1484,190,143,4
1485,48,190,4
1486,49,190,8
1487,190,49,7
1488,57,190,2
1489,190,57,1
1490,28,190,2
1491,190,28,1
1492,224,190,2
1493,190,224,1
1494,149,190,6
1495,190,149,6
1496,154,190,7
1497,190,154,1
1498,156,190,1
1499,190,156,2
1500,68,190,2
1501,190,68,2
1502,157,190,3
1503,283,190,4
1504,190,283,1
1505,158,190,4
1506,190,158,2
1507,329,190,1
1508,159,190,4
1509,190,159,6
1510,330,190,5
1511,190,330,6
1512,398,190,2
1513,160,190,5
1514,190,160,6
1515,30,190,7
1516,190,30,7
1517,331,190,2
1518,190,331,2
1519,61,190,7
1520,190,61,6
1521,287,190,10
1522,190,287,13
1523,177,190,5
1524,190,177,6
1525,33,190,4
1526,190,33,4
1527,289,190,6
1528,190,289,6
1529,183,190,16
1530,190,183,15
1531,98,462,6
1532,462,98,8
1533,105,462,3
1534,462,105,3
1535,66,462,1
1536,71,462,1
1537,16,462,2
1538,224,462,5
1539,462,224,5
1540,149,462,3
1541,462,149,3
1542,153,462,2
1543,462,153,3
1544,156,462,4
1545,462,156,4
1546,68,462,4
1547,462,68,3
1548,157,462,4
1549,462,157,2
1550,285,462,3
1551,170,462,1
1552,462,170,2
1553,286,462,1
1554,335,462,2
1555,462,335,2
1556,1,85,15
1557,85,1,15
1558,94,85,14
1559,85,94,14
1560,97,85,1
1561,85,97,1
1562,5,85,3
1563,85,5,3
1564,7,85,8
1565,85,7,8
1566,65,85,2
1567,85,65,2
1568,9,85,3
1569,85,9,3
1570,202,85,3
1571,85,202,3
1572,137,85,1
1573,85,137,1
1574,45,85,4
1575,85,45,4
1576,27,85,8
1577,85,27,8
1578,28,85,8
1579,85,28,8
1580,160,85,2
1581,85,160,2
1582,69,85,3
1583,85,69,3
1584,29,85,20
1585,85,29,20
1586,30,85,11
1587,85,30,11
1588,61,85,2
1589,85,61,2
1590,1,86,5
1591,86,1,5
1592,241,86,2
1593,86,241,2
1594,102,86,5
1595,86,102,5
1596,76,86,4
1597,86,76,4
1598,5,86,2
1599,86,5,2
1600,336,86,3
1601,86,336,3
1602,107,86,2
1603,86,107,2
1604,337,86,2
1605,86,337,2
1606,338,86,3
1607,86,338,3
1608,339,86,2
1609,86,339,2
1610,159,86,3
1611,86,159,3
1612,330,86,3
